,LONGNAME,name,STATION_ID,LINES,zone,lat,lon,jaro_score
11,West Pullman,West Pullman,4167.0,Electric,Zone 2,41.674202,-87.642298,1.0
129,Western Avenue,Western Avenue,12029.0,"Milw-N, Milw-W, NCS",Zone 2,41.889089,-87.688276,1.0
89,Western Avenue,Western Avenue,10038.0,BNSF,Zone 2,41.857688,-87.685454,1.0
100,Western Springs,Western Springs,10155.0,BNSF,Zone 3,41.809084,-87.901212,1.0
105,Westmont,Westmont,10195.0,BNSF,Zone 3,41.795604,-87.976372,1.0
125,Wheaton,Wheaton,11250.0,UP-W,Zone 4,41.864392,-88.112091,1.0
198,Wheeling,Wheeling,16272.0,NCS,Zone 3,42.136522,-87.927167,1.0
85,Willow Springs,Willow Springs,9175.0,Heritage,Zone 3,41.733397,-87.878341,1.0
212,Wilmette,Wilmette,17144.0,UP-N,Zone 2,42.077337,-87.709376,1.0
3,Windsor Park,Windsor Park,1109.0,Electric,Zone 2,41.758446,-87.559456,1.0
126,Winfield,Winfield,11275.0,UP-W,Zone 4,41.869905,-88.156813,1.0
215,Winnetka,Winnetka,17166.0,UP-N,Zone 3,42.105372,-87.732762,1.0
230,Winthrop Harbor,Winthrop Harbor,17445.0,UP-N,Zone 4,42.482774,-87.816227,1.0
145,Wood Dale,Wood Dale,12191.0,Milw-W,Zone 3,41.962376,-87.974775,1.0
175,Woodstock,Woodstock,13516.0,UP-NW,Zone 4,42.317064,-88.447429,1.0
79,Worth,Worth,8182.0,SWS,Zone 3,41.691444,-87.796002,1.0
75,Wrightwood,Wrightwood,8112.0,SWS,Zone 2,41.74891,-87.703491,1.0
229,Zion,Zion,17421.0,UP-N,Zone 4,42.449496,-87.81807,1.0
