STATION_ID,LONGNAME,name,,LINES,zone,lat,lon,jaro_score
0,Prairie Crossing/Libertyville,Prairie Crossing (Libertyville),,Milw-N,Zone 4,42.317943,-88.017335,0.9562476826103078
7158,Prairie Street,Prairie Street,,Rock Is.,Zone 2,41.662408,-87.675052,1
16316,Prairie View,Prairie View,,NCS,Zone 4,42.198091,-87.955675,1
16240,Prospect Heights,Prospect Heights,,NCS,Zone 3,42.09233,-87.907889,1
4170,Racine Avenue,Racine Avenue,,Electric,Zone 2,41.6741,-87.651968,1
17065,Ravenswood,Ravenswood,,UP-N,Zone 2,41.968251,-87.674415,1
17215,Ravinia,Ravinia,,UP-N,Zone 3,42.165038,-87.782961,1
17212,Ravinia Park,Ravinia Park,,UP-N,Zone 3,42.157618,-87.7767,1
5293,Richton Park,Richton Park,,Electric,Zone 3,41.48583,-87.709156,1
11097,River Forest,River Forest,,UP-W,Zone 2,41.886859,-87.824621,1
12114,River Grove,River Grove,,"Milw-W, NCS",Zone 2,41.931022,-87.836432,1
5173,Riverdale,Riverdale,,Electric,Zone 2,41.646483,-87.623272,1
10111,Riverside,Riverside,,BNSF,Zone 2,41.827328,-87.820221,1
6172,Robbins,Robbins,,Rock Is.,Zone 2,41.640853,-87.694537,1
17094,Rogers Park,Rogers Park,,UP-N,Zone 2,42.009321,-87.67555,1
12239,Roselle,Roselle,,Milw-W,Zone 4,41.981544,-88.067191,1
0,Rosemont,Rosemont,,NCS,Zone 2,41.975701,-87.873758,1
15440,Round Lake,Round Lake,,Milw-N,Zone 4,42.354652,-88.094014,1
16459,Round Lake Beach,Round Lake Beach,,NCS,Zone 4,42.385137,-88.065351,1
10316,Route 59,Route 59,,BNSF,Zone 4,41.778068,-88.208743,1
12265,Schaumburg,Schaumburg,,Milw-W,Zone 4,41.989253,-88.11823,1
0,Schiller Park,Schiller Park,,NCS,Zone 2,41.962843,-87.870378,1
1103,South Shore,South Shore,,Electric,Zone 2,41.76518,-87.565669,1
4156,State Street,State Street,,Electric,Zone 2,41.674421,-87.622077,1
4160,Stewart Ridge,Stewart Ridge,,Electric,Zone 2,41.674318,-87.631437,1
10142,Stone Avenue (LaGrange),Stone Avenue (LaGrange),,BNSF,Zone 3,41.814233,-87.878383,1
1091,Stony Island,Stony Island,,Electric,Zone 2,41.766067,-87.586953,1
9119,Summit,Summit,,Heritage,Zone 2,41.795023,-87.809703,1
6235,Tinley Park,Tinley Park,,Rock Is.,Zone 3,41.576018,-87.782759,1
8000,Union Station,Union Station,,"Milw-N, Milw-W, NCS, BNSF, Heritage, SWS",Zone 1,41.879286,-87.638976,1
5315,University Park,University Park,,Electric,Zone 3,41.45965,-87.723129,1
